Time(s),Res(O),Angles(deg)
1733109910.212937,"(123.75, 321.45, 292.19, 157.2)","(2.3099999999999987, 18.64)"
1733109910.2497346,"(123.72, 321.45, 292.19, 157.02)","(2.169999999999998, 18.78)"
1733109910.2869077,"(123.69, 321.33, 292.19, 156.89)","(2.0199999999999996, 18.85)"
1733109910.3235512,"(123.69, 321.33, 292.19, 156.76)","(2.16, 18.71)"
1733109910.356748,"(123.66, 321.33, 292.19, 156.71)","(2.16, 18.71)"
1733109910.393794,"(123.66, 321.33, 292.19, 156.54)","(2.0199999999999996, 18.85)"
1733109910.4306188,"(123.62, 321.33, 292.19, 156.32)","(2.0199999999999996, 18.85)"
1733109910.467003,"(123.59, 321.33, 292.19, 156.18)","(2.0199999999999996, 18.85)"
1733109910.5041437,"(123.56, 321.33, 292.19, 156.1)","(2.0199999999999996, 18.85)"
1733109910.5413508,"(123.52, 321.33, 292.19, 155.96)","(2.0199999999999996, 18.85)"
1733109910.578096,"(123.49, 321.21, 292.19, 155.88)","(2.0199999999999996, 18.85)"
1733109910.6143105,"(123.46, 321.21, 292.19, 155.79)","(2.0199999999999996, 18.85)"
1733109910.6518853,"(123.42, 321.21, 292.19, 155.7)","(2.3099999999999987, 18.64)"
1733109910.6887832,"(123.39, 321.21, 292.19, 155.61)","(2.3099999999999987, 18.64)"
1733109910.721343,"(123.36, 321.21, 292.19, 155.53)","(2.3099999999999987, 18.64)"
1733109910.758018,"(123.32, 321.21, 292.19, 155.57)","(2.3099999999999987, 18.64)"
1733109910.7952948,"(123.29, 321.21, 292.19, 155.57)","(2.3099999999999987, 18.64)"
