R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
126.7,321.21,290.41,164.16,70.89,83.75
126.7,321.21,290.3,164.25,70.69,83.75
126.7,321.21,290.3,164.3,70.62,83.75
126.7,321.21,290.2,164.39,70.62,83.75
126.7,321.21,290.09,164.48,70.62,83.75
126.67,321.21,289.99,164.53,70.62,83.75
126.64,321.21,289.99,164.58,70.42,83.75
126.6,321.21,289.88,164.53,70.42,83.95
126.57,321.21,289.78,164.48,70.49,83.95
126.57,321.21,289.78,164.48,70.42,83.95
126.53,321.21,289.67,164.48,70.42,83.95
126.5,321.21,289.57,164.44,70.35,83.95
126.47,321.21,289.57,164.39,70.35,83.95
126.43,321.08,289.57,164.3,70.42,83.95
126.4,320.96,289.57,164.2,70.42,83.95
126.37,320.96,289.47,164.06,70.14,83.95
126.33,320.96,289.47,163.92,70.14,83.95
126.3,320.96,289.36,163.88,70.22,83.92
126.26,320.96,289.36,163.78,70.22,83.92
126.23,320.96,289.36,163.64,70.14,83.97
126.23,320.96,289.36,163.5,70.14,83.97
126.23,320.96,289.26,163.41,70.14,83.97
126.23,320.96,289.26,163.41,70.22,83.95
126.23,320.96,289.26,163.41,70.22,83.95
126.2,320.96,289.15,163.36,70.22,83.95
126.2,320.96,289.15,162.99,70.14,83.97
126.2,320.96,289.15,162.9,70.02,83.97
126.2,320.96,289.05,162.81,70.14,83.95
126.2,321.08,289.05,162.76,69.94,83.97
126.2,321.21,289.05,162.71,70.14,83.95
126.2,321.21,289.05,162.67,70.14,83.71
126.2,321.21,289.05,162.62,69.94,83.97
126.2,321.21,289.05,162.53,69.94,83.97
126.2,321.21,289.05,162.44,69.94,83.97
126.2,321.21,289.05,162.39,69.94,83.97
126.2,321.21,289.05,162.39,69.94,83.73
126.2,321.21,289.05,162.3,69.94,83.97
126.2,321.21,289.05,162.16,69.94,83.97
126.2,321.21,289.05,161.98,69.94,83.97
126.2,321.08,289.05,161.88,69.94,83.97
126.2,321.08,289.05,162.11,69.94,83.97
126.2,321.08,289.05,162.07,69.94,83.97
126.2,320.96,289.05,162.07,69.94,83.97
126.2,320.96,289.05,162.02,69.82,83.73
126.2,320.96,289.05,161.93,69.82,83.73
