Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734287231.631385,63.49,56.53,63.88,65.18,3.38,20.44
1734287231.756185,63.6,56.55,63.9,65.16,4.62,19.82
1734287231.8726196,63.83,56.62,63.72,65.09,4.19,19.82
1734287232.0043,63.81,56.62,63.54,65.04,4.62,19.82
1734287232.1256964,63.69,56.56,63.52,64.97,4.19,19.82
1734287232.2445054,63.69,56.36,63.26,64.74,4.19,19.82
1734287232.3828974,63.4,56.25,63.4,65.02,4.19,19.82
1734287232.5057237,63.16,56.41,63.64,65.3,4.19,19.82
1734287232.6315308,63.62,56.5,63.71,65.34,4.19,19.82
1734287232.7455387,63.84,56.39,63.69,65.09,3.75,19.82
1734287232.8823843,63.84,56.44,63.4,64.78,4.03,19.36
1734287233.00522,63.66,56.41,62.98,64.88,3.59,19.36
1734287233.1326354,63.38,56.3,63.2,65.09,2.97,19.36
1734287233.2553349,63.57,56.5,63.42,64.76,3.43,18.9
1734287233.3724089,63.79,56.58,63.47,65.02,3.77,18.74
1734287233.504922,63.64,56.56,63.71,64.9,3.77,18.74
1734287233.6257632,63.67,56.58,63.54,64.66,3.33,18.74
1734287233.744365,63.86,56.28,63.42,64.59,3.15,18.74
1734287233.8749778,63.64,56.25,63.31,64.55,3.15,18.74
1734287234.0045638,63.59,56.27,63.21,64.52,3.15,18.74
1734287234.127605,63.59,56.28,63.45,64.76,3.15,18.74
1734287234.2417889,63.55,56.45,63.69,64.64,3.15,18.74
1734287234.377214,63.78,56.47,63.5,64.64,3.15,18.74
1734287234.496132,63.55,56.42,63.49,64.62,3.15,18.74
1734287234.6264827,63.5,56.34,63.43,64.59,3.15,18.74
1734287234.753881,63.49,56.22,63.4,64.59,3.15,18.74
1734287234.862818,63.47,56.24,63.6,64.62,3.15,18.74
1734287234.9912975,63.45,56.62,63.55,64.42,2.99,18.28
1734287235.1237152,63.49,56.3,63.4,64.35,2.28,17.21
1734287235.241734,63.3,56.25,63.59,64.26,2.12,17.21
1734287235.3766716,63.26,56.44,63.59,64.42,1.82,16.61
1734287235.5034308,63.47,56.33,63.55,64.43,1.7,16.14
1734287235.6241512,63.3,56.27,63.52,64.4,1.56,15.68
1734287235.7432082,63.25,56.25,63.5,64.35,1.11,15.68
1734287235.8706944,63.25,56.45,63.45,64.59,0.92,15.55
1734287235.9986885,63.21,56.81,63.71,64.57,0.92,15.09
1734287236.1223583,63.42,56.86,63.62,64.31,0.33,15.09
1734287236.2491696,63.4,56.73,63.78,64.28,0.33,15.09
1734287236.3708491,63.18,56.86,63.96,64.57,0.8,14.62
1734287236.4937716,63.38,57.11,64.05,64.62,0.8,14.62
1734287236.625632,63.83,57.14,64.08,64.61,0.22,14.62
1734287236.7480285,63.81,57.16,63.81,64.3,-0.24,14.62
1734287236.8669906,63.79,57.0,63.47,64.17,0.69,14.15
1734287236.9950674,63.52,57.31,63.6,64.36,0.23,14.15
1734287237.113114,63.4,57.49,63.88,64.36,0.23,14.15
1734287237.2466614,63.62,57.52,63.88,64.36,0.23,14.15
1734287237.3715837,63.28,57.44,64.03,64.81,0.23,14.15
1734287237.4974349,63.18,57.6,64.26,64.88,-0.23,14.15
1734287237.6135943,63.62,57.58,64.31,64.94,0.46,14.04
1734287237.7447724,63.67,57.6,64.31,64.68,-0.23,14.15
1734287237.8707054,63.67,57.44,63.88,64.38,-0.8,14.15
1734287237.9978385,63.43,57.25,63.74,64.52,0.24,13.68
1734287238.1110234,63.16,57.19,63.98,64.62,-0.11,13.1
1734287238.2412062,63.37,57.22,63.9,64.61,-1.13,12.63
1734287238.3669548,63.26,57.09,63.88,64.81,-0.47,12.06
1734287238.4979775,63.04,57.05,63.83,64.8,-1.03,11.59
1734287238.6205752,63.2,56.9,63.81,64.78,-1.97,11.59
1734287238.7415514,63.35,56.9,63.81,65.01,-2.05,11.12
1734287238.862106,63.33,57.11,63.72,64.87,-1.58,10.65
1734287238.9930124,63.54,57.17,63.55,64.78,-2.52,11.12
1734287239.1204405,63.5,57.03,63.59,64.57,-1.58,10.65
1734287239.2474492,63.42,57.2,63.62,64.38,-1.49,10.09
1734287239.3581874,63.54,57.25,63.45,64.55,-1.96,10.09
1734287239.496544,63.4,57.2,63.43,64.52,-2.43,10.09
1734287239.6149614,63.49,57.03,63.37,64.47,-1.49,9.62
1734287239.7470467,63.5,57.06,63.37,64.66,-2.11,9.7
1734287239.86699,63.47,57.22,63.47,64.68,-1.96,9.62
1734287239.9960349,63.64,57.44,63.52,64.45,-1.96,9.62
1734287240.1191237,63.64,57.31,63.66,64.26,-1.96,9.62
1734287240.230554,63.33,57.23,63.86,64.54,-1.96,9.62
1734287240.369233,63.11,57.42,63.98,64.78,-1.96,9.62
1734287240.4926395,63.4,57.49,64.05,64.81,-1.96,9.62
1734287240.613255,63.47,57.38,64.02,64.55,-1.96,9.62
1734287240.735071,63.47,57.19,63.71,64.38,-1.96,9.62
1734287240.8678608,63.21,57.11,63.47,64.54,-2.11,9.7
1734287240.991786,62.96,57.22,63.71,64.78,-1.96,9.62
1734287241.1131687,63.2,57.25,63.78,64.59,-1.96,9.62
1734287241.232682,63.18,57.08,63.76,64.61,-2.49,9.62
1734287241.362922,62.89,57.16,63.96,64.83,-2.44,9.62
1734287241.491563,63.11,57.36,64.03,64.87,-3.39,9.62
1734287241.6140287,63.37,57.25,64.03,64.62,-2.96,8.67
1734287241.7303283,63.38,57.28,63.78,64.33,-2.84,8.6
1734287241.851247,63.21,57.23,63.38,64.43,-2.96,8.2
1734287241.9912295,62.94,57.12,63.55,64.64,-3.33,8.13
1734287242.1134472,62.92,57.28,63.76,64.3,-3.44,8.2
1734287242.2412796,63.16,57.16,63.72,64.33,-3.44,8.2
1734287242.3626091,62.77,57.06,63.91,64.78,-3.91,8.2
1734287242.4847264,62.67,57.17,64.12,64.8,-2.96,7.72
1734287242.6141517,63.08,57.11,64.15,64.81,-2.96,7.72
1734287242.7370193,63.16,57.16,64.15,64.57,-3.0,7.72
1734287242.8592217,63.14,57.17,64.0,64.33,-3.0,7.72
